TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;len;fmt;uType;asduType;numix;cot;oa;addr
17:16:01.73;11.824531000;192.168.11.248;192.168.11.111;2404;56693;555;205;0x00000000;;125;1;13;0;65535
17:16:01.73;11.824531000;192.168.11.248;192.168.11.111;2404;56693;555;18;0x00000000;;123;1;13;0;65535
17:16:01.73;11.824908000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:01.73;11.825431000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:01.73;11.825796000;192.168.11.248;192.168.11.111;2404;56693;60;18;0x00000000;;123;1;13;0;65535
17:16:01.73;11.825998000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:01.73;11.826347000;192.168.11.248;192.168.11.111;2404;56693;46;4;0x00000001;;;;;;
17:16:01.82;11.917623000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.82;11.917961000;192.168.11.248;192.168.11.111;2404;56693;61;19;0x00000000;;120;1;13;0;65535
17:16:01.82;11.918173000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.83;11.918501000;192.168.11.248;192.168.11.111;2404;56693;62;20;0x00000000;;121;1;13;0;65535
17:16:01.89;11.980991000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:01.89;11.981835000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.981835000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.981836000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.89;11.981837000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.981837000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.982183000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.89;11.982184000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.982184000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.982552000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
